ParticipantID,Trial,Saccade,Direction,Amplitude,PeakVelocity,MeanVelocity,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,Blink,SearchType,SearchOrder,Task,ParticipantGender,Stimulus,ActorGender,Directionality,Ostension,Year
1_1_f1,1,3,RIGHT,6.52,330.06,186.42,1043,1077,35,644.8,819.7,1014.5,835.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,2,LEFT,4.45,269.3,148.43,745,774,30,850.7,705.9,638.1,806.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,1,DOWN,6.94,407.45,198.38,421,455,35,876.4,395.1,868.9,676.6,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,4,RIGHT,10.34,408.62,220.05,1214,1260,47,993.9,831.7,1550.3,686.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,6,LEFT,13.15,404.06,168.58,1762,1839,78,1422.5,793.8,784.5,518.6,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,7,LEFT,4.18,268.96,69.66,1977,2036,60,795.3,513.6,578.4,570.7,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,8,DOWN,2.48,168.09,95.53,2215,2240,26,570.3,572.4,474.2,646.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,5,DOWN,3.55,213.11,126.85,1550,1577,28,1527.1,665.9,1434.2,801,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,41,RIGHT,7.89,361.84,133.71,11196,11254,59,1229.6,577.7,1670,630,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,9,DOWN,1.53,151.8,31.89,2379,2426,48,470.1,642.8,452.5,705.9,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,10,RIGHT,4.68,302.07,173.29,2639,2665,27,480.7,700,679.8,833.1,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,11,RIGHT,6.57,335.49,168.44,2892,2930,39,667.1,834.5,1038.5,812.9,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,12,RIGHT,8.39,337.67,204.67,3152,3192,41,1012.3,815.9,1477.1,734.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,13,LEFT,3.68,205.56,126.79,3403,3431,29,1464.9,728.4,1260,701.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,14,RIGHT,1.91,127.8,86.91,3645,3666,22,1265.7,704.4,1353.9,658.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,15,RIGHT,6.41,319.38,173.19,3955,3991,37,1341,648.6,1699,708.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,16,DOWN,6.29,310.79,185.14,4344,4377,34,1661.1,685.7,1422,893.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,36,RIGHT,3.7,223.94,154.16,9772,9795,24,848,586.3,1051.1,588.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,37,LEFT,4.15,232.54,86.56,9938,9985,48,1026,590,798.8,575,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,38,RIGHT,9.05,416.89,173.98,10536,10587,52,807.8,588.3,1307,617.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
